"","X12.31.2017","Retail.Dealer","RITE.AID.OF.NEW.YORK..INC.","RITE.AID.STORE..4866","X9514","X63RD.DR","X","REGO.PARK","X11374","X212.791.5795","Queens","X.1","X.73.86273182","X40.7294619"
"3475","03/31/2018","market","COLUMBIA FLORIST, INC.","","210","W 231ST ST","","BRONX",10463,"7185433753","Bronx","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 0, 5 foot stands: 1, 5.01 to 10 foot stands: 0",-73.90519492,40.87911421
"3479","03/31/2018","market","XIANG WANG FRUITS & GROCERY INC.","BENGAL CONTRACTING CO","5701","8TH AVE","","BROOKLYN",11220,"917-586-3535","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 4, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-74.00786546,40.63710777
"3481","03/31/2018","market","FRIENDS GROCERY & HALAL MEAT CORP.","BANGLA TOWN SUPERMARKET & HALAL MEAT","2169","STARLING AVE","","BRONX",10462,"7182398135","Bronx","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 2, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.85292387,40.83629145
"3490","03/31/2018","market","JIN SHUAI CHEN","CREATIVE FLOWERS & GIFT SHOP","8448","ELIOT AVE","","MIDDLE VILLAGE",11379,"7188981919","Queens","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 1, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.87360272,40.7276381
"3498","03/31/2018","market","MCCARREN NATURAL GROCERY & FOODS CORP","LANDAU'S SUPERMARKET","57","NASSAU AVE","","BROOKLYN",11222,"718-388-1919","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 2, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.9521184,40.72334708
"3501","03/31/2018","market","PINE APPLE FARM CORP","","7402","5TH AVE","","BROOKLYN",11209,"347-613-3098","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 0, 5 foot stands: 7, 5.01 to 10 foot stands: 0",-74.02236183,40.630189
"3503","03/31/2016","market","NEW LUCKY BEST CENTER INC","","5822","8TH AVE","","BROOKLYN",11220,"7186122042","Brooklyn","Product Category: Confectionery, Cigars, Cigarettes, or Tobacco, 4 foot stands: 2, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-74.00856437,40.63646818
"3505","03/31/2018","market","CONEY SUPER, CORP.","PROGRESO LAUNDROMAT","1839","CONEY ISLAND AVE","","BROOKLYN",11230,"7183752180","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 4, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.96277636,40.61216559
"3509","03/31/2018","market","HAN HEE INC.","","5918","WOODSIDE AVE","","WOODSIDE",11377,"7184460759","Queens","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 5, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.90528067,40.74530905
"3512","03/31/2018","market","726 MEAT MARKET, INC","SAGAL FOOD","726","BROADWAY","","BROOKLYN",11206,"347-889-7773","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 8, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.94266722,40.70117057
"3513","03/31/2018","market","MR. MOE'S DELI INC","ECC and Associates","2001","3RD AVE","","NEW YORK",10029,"6462620908","Manhattan","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 2, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.94290511,40.79398437
"3517","03/31/2018","market","HAN'S FAMILY FRUIT & VEGETABLE, INC.","","2501","BROADWAY","","NEW YORK",10025,"2126667089","Manhattan","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 2, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.97309807,40.79286454
"3522","03/31/2018","market","532 MADISON AVENUE GOURMET FOODS, INC.","SMILERS","532","MADISON AVE","","NEW YORK",10022,"2126441090","Manhattan","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 4, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.97370676,40.76046307
"3523","03/31/2018","market","BOROUGH PARK FOOD MART LLC","","4424","13TH AVE","","BROOKLYN",11219,"7188512600","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 10, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.98939973,40.63764827
"3527","03/31/2018","market","1187 T & J FOOD CORP.","","1187","JEROME AVE","","BRONX",10452,"7185385216","Bronx","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 8, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.92294633,40.83573918
"3529","03/31/2018","market","DYNASTY MEAT CORP.","FRESH N SAVE MARKET","4602","QUEENS BLVD","","SUNNYSIDE",11104,"7186514923","Queens","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 0, 5 foot stands: 8, 5.01 to 10 foot stands: 0",-73.91854607,40.74312889
"3530","03/31/2018","market","MAN-DELL FOOD STORES INC.","KEY FOOD","3215","NEWTOWN AVE","","ASTORIA",11102,"7187289403","Queens","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 10, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.92015621,40.76669916
"3531","03/31/2018","market","HOMETOWN FRESH MARKET INC.","","5704","5TH AVE","","BROOKLYN",11220,"7184313887","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 2, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-74.01450676,40.64108981
"3532","03/31/2018","market","TROPICAL DAIRY FARM CORP.","","3494","JEROME AVE","","BRONX",10467,"7185158620","Bronx","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 4, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.88163341,40.88235863
"3541","03/31/2018","market","HASTIM FOOD CORP.","","3702","BROADWAY","","ASTORIA",11103,"7185456001","Queens","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 1, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.92047147,40.75965636
"3550","03/31/2018","market","GOOD NATURE 1045 INC.","","1045","2ND AVE","","NEW YORK",10022,"2123717507","Manhattan","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 4, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.96618167,40.75810611
"3551","03/31/2018","market","JE FRUIT & VEGETABLES, INC.","","16202","NORTHERN BLVD","","FLUSHING",11358,"7189398405","Queens","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 2, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.80326242,40.76173084
"3553","03/31/2018","market","Yi Zhou USA Inc.","M.S. CONSTRUCTION","4020","MAIN ST","","FLUSHING",11354,"7188860300","Queens","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 8, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.82991673,40.75908891
"3554","03/31/2018","market","H. M. S. M. SUPERMARKETS INC.","PIONEER","10221","QUEENS BLVD","","FOREST HILLS",11375,"7188975959","Queens","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 6, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.85121955,40.72576962
"3556","03/31/2018","market","KANG YI INC","","4002","5TH AVE","","BROOKLYN",11232,"718-686-9760","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 1, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-74.00459482,40.65061778
"3558","03/31/2018","market","148 FOOD PLAZA, INC.","","3596","BROADWAY","","NEW YORK",10031,"2122342337","Manhattan","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 6, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.949145,40.828203
"3559","03/31/2018","market","TIN SANG MARKET INC.","","5724","8TH AVE","","BROOKLYN",11220,"646-387-9732","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 5, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-74.00798435,40.63701993
"3565","03/31/2018","market","37TH AVE. MARKET INC.","","3560","JUNCTION BLVD","","CORONA",11368,"7183966454","Queens","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 6, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.87162363,40.75298921
"3569","03/31/2018","market","Bay Mart Supermarket Inc","","6922","4TH AVE","","BROOKLYN",11209,"718-491-2178","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 0, 5 foot stands: 4, 5.01 to 10 foot stands: 0",-74.02364226,40.63434435
"3581","03/31/2018","market","SUPER SAVER GROCERY INC.","","10920","JAMAICA AVE","","RICHMOND HILL",11418,"7188055588","Queens","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 2, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.83846936,40.69601563
"3589","03/31/2018","market","J & J MEAT MARKET & DELI INC.","","8922","163RD ST","","JAMAICA",11432,"7185585553","Queens","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 1, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.79804359,40.70665641
"3603","03/31/2018","market","GOLDEN PROFIT TRADING, INC.","","147","MOTT ST","","NEW YORK",10013,"2129650503","Manhattan","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 2, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.99659094,40.71880617
"3605","03/31/2018","market","MELON 940 FARM, INC..","","940","2ND AVE","","NEW YORK",10022,"2126885698","Manhattan","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 8, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.96861613,40.75473076
"3619","03/31/2018","market","H & S FRUITS AND VEGETABLES, CORP.","RINCON JEWELRY 11","1490","FULTON ST","","BROOKLYN",11216,"7187780938","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 0, 5 foot stands: 6, 5.01 to 10 foot stands: 0",-73.94151733,40.67994743
"3621","03/31/2018","market","NEW YORK MART ROOSEVELT, INC.","","14241","ROOSEVELT AVE","","FLUSHING",11354,"7188880177","Queens","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 16, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.82562063,40.76070189
"3623","03/31/2018","market","R&J HALAL MEAT LLC","MALIK GROCERY","4343","MAIN ST","","FLUSHING",11355,"7184618171","Queens","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 2, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.82613891,40.75160382
"3624","03/31/2018","market","CASTLE DELI CORP.","","500","GRAND ST","","BROOKLYN",11211,"","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 1, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.95119669,40.71094037
"3628","03/31/2018","market","191 GRAND LLC","GENUINE SUPRETTE","191","GRAND ST","","NEW YORK",10013,"6467264633","Manhattan","Product Category: Ice Cream, 4 foot stands: 0, 5 foot stands: 1, 5.01 to 10 foot stands: 0",-73.99718255,40.71927554
"3632","03/31/2018","market","FUENTES, ROSA","BK GROCERY DELI","102","E 167TH ST","","BRONX",10452,"6462478605","Bronx","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 1, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.9192575,40.83502578
"3636","03/31/2018","market","ALI, DERHIM KAID","BRONX PLAZA GROCERY","24","W BURNSIDE AVE","","BRONX",10453,"7185832034","Bronx","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 1, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.90832525,40.85380788
"3637","03/31/2018","market","NY GREENPOINT FARM INC","","4204","GREENPOINT AVE","","SUNNYSIDE",11104,"7187845081","Queens","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 5, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.92284716,40.74051061
"3654","03/31/2018","market","JUSTIN MEAT INC","MRX CONSTRUCTION CO","1375","OGDEN AVE","","BRONX",10452,"3474389472","Bronx","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 3, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.92457642,40.84188292
"3655","03/31/2018","market","ELSI ORGANIC FARM CORP","CARNICERIA LA MEXICANA FRUTAS Y VEGETABLES","4009","NATIONAL ST","","CORONA",11368,"845-662-9641","Queens","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 0, 5 foot stands: 1, 5.01 to 10 foot stands: 0",-73.86289662,40.7493204
"3656","03/31/2018","market","JBP FLOWERS INC.","DITMARS FLOWERS & GIFTS","2911","DITMARS BLVD","","ASTORIA",11105,"7187264453","Queens","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 1, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.91153288,40.77672763
"3658","03/31/2018","market","EL PALACIO SEAFOOD MARKET CORPORATION","","1049","SAINT NICHOLAS AVE","","NEW YORK",10032,"3472083855","Manhattan","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 0, 5 foot stands: 1, 5.01 to 10 foot stands: 0",-73.94003177,40.83647668
"3663","03/31/2018","market","Y & Y FARM CORP.","","1572","BATH AVE","","BROOKLYN",11228,"718-259-0999","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 2, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-74.01122564,40.60693125
"3664","03/31/2018","market","KIM, DOK K.","KD FOOD MARKET","8502","21ST AVE","","BROOKLYN",11214,"718-372-1630","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 1, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.99554165,40.60378344
"3665","03/31/2018","market","DJ FRUIT MARKET INC.","","1220","NOSTRAND AVE","","BROOKLYN",11225,"347-404-7805","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 2, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.95029515,40.65744163
"3666","03/31/2018","market","JIN CHENG DA INC","","6802","18TH AVE","","BROOKLYN",11204,"3474627569","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 15, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.99203601,40.6173041
"3672","03/31/2018","market","SIRI MEAT MARKET CORP","CARNICERIA LA PLAZA MEAT MARKET","9329","JAMAICA AVE","","WOODHAVEN",11421,"718-580-4139","Queens","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 2, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.85130129,40.69398807
"3674","03/31/2018","market","1107 PRODUCE INC","","1107","BRIGHTON BEACH AVE","","BROOKLYN",11235,"","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 0, 5 foot stands: 4, 5.01 to 10 foot stands: 0",-73.9565641,40.57790557
"3675","03/31/2018","market","HE FENG TRADING CORP","","4717","8TH AVE","","BROOKLYN",11220,"7186056950","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 2, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-74.00210796,40.64264425
"3677","03/31/2018","market","ORGANIC 7 MARKET INC.","","707","2ND AVE","","NEW YORK",10016,"2129221212","Manhattan","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 6, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.9739862,40.74739539
"3678","03/31/2018","market","FLOWER DELI GROCERY CORP.","","2101","AVENUE U","","BROOKLYN",11229,"7186486887","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 2, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.95023744,40.59952106
"3681","03/31/2018","market","CHEN'S GROCERY INC","","3916","104TH ST","","CORONA",11368,"718-639-8188","Queens","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 1, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.86204959,40.75052433
"3682","03/31/2018","market","DANIELA'S FLOWER SHOP INC.","UPTOWN DANIELA'S FLOWER SHOP","714","W 181ST ST","","NEW YORK",10033,"212-795-8971","Manhattan","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 2, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.93810665,40.85086617
"3685","03/31/2018","market","CORONA FARM CORP.","","3785","103RD ST","","CORONA",11368,"7187792097","Queens","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 1, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.86416367,40.75273911
"3703","03/31/2018","market","EL CONUQUITO CORP","BIG SLIDE","2946","FULTON ST","","BROOKLYN",11207,"347-689-8998","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 2, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.88602065,40.67949686
"3704","03/31/2018","market","HAO ZHI, INC.","","2345","86TH ST","","BROOKLYN",11214,"7189960610","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 1, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.99048604,40.59991571
"3717","03/31/2018","market","BEST BUY INTERNATIONAL FOOD INC.","","411","BRIGHTON BEACH AVE","","BROOKLYN",11235,"718-676-5105","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 2, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.9630802,40.57726557
"3719","03/31/2018","market","U FINE GROCERY INC","DAS, NRIPENDRA","87","AVENUE U","","BROOKLYN",11223,"7184497758","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 0, 5 foot stands: 2, 5.01 to 10 foot stands: 0",-73.98108478,40.59611849
"3731","03/31/2018","market","PSITOS, WILLIAM","SUNNYSIDE FLORIST","4005","QUEENS BLVD","","SUNNYSIDE",11104,"7187848226","Queens","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 1, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.92409201,40.74379691
"3733","03/31/2018","market","KAY MARKET, INC.","","645","BROADWAY","","NEW YORK",10012,"2124738596","Manhattan","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 2, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.99572104,40.72668635
"3735","03/31/2018","market","PERSAUD FOODS, INC.","FOUR ALL SEASONS VARIETY & DISCOUNT CENTER","12319","LIBERTY AVE","","SOUTH RICHMOND HILL",11419,"7186595100","Queens","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 1, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.82066272,40.68760672
"3751","03/31/2018","market","SMZ IMPEX INC.","","146","2ND AVE","","NEW YORK",10003,"2124757521","Manhattan","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 0, 5 foot stands: 7, 5.01 to 10 foot stands: 0",-73.98717343,40.72927127
"3754","03/31/2018","market","MJP DELI & GROCERY, INC.","MJP BAKERY","1010","BEVERLEY RD","","BROOKLYN",11218,"7184245425","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 0, 5 foot stands: 1, 5.01 to 10 foot stands: 0",-73.96978178,40.64377115
"3776","03/31/2018","market","S & K VEGETABLES CORP.","","7220","37TH AVE","","JACKSON HEIGHTS",11372,"7186723708","Queens","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 0, 5 foot stands: 8, 5.01 to 10 foot stands: 0",-73.8934018,40.74878451
"3777","03/31/2018","market","ALVARADO, CELINA","FULTON FLOWERS & GIFTS","3330","FULTON ST","","BROOKLYN",11208,"718-235-6495","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 1, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.87277062,40.68347662
"3783","03/31/2018","market","MIGUEL CHACON","","17936","HILLSIDE AVE","","JAMAICA",11432,"9177106263","Queens","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 1, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.78332595,40.71275872
"3785","03/31/2018","market","FRUIT MARKET OF KINGS, LLC","","3126","PERRY AVE","","BRONX",10467,"718-231-3986","Bronx","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 2, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.87830482,40.87332787
"3790","03/31/2016","market","4121 CHURCH MEAT CORP.","","4121","CHURCH AVE","","BROOKLYN",11203,"7188565677","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 3, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.93876745,40.65134815
"3794","03/31/2018","market","57 BAYARD MEAT MARKET INC","","57","BAYARD ST","","NEW YORK",10013,"2126196206","Manhattan","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 2, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.99783924,40.71538898
"3796","03/31/2018","market","J CITY SUPERMARKET INC","GUO QING ZHANG","14805","JAMAICA AVE","","JAMAICA",11435,"7182063888","Queens","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 4, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.80660227,40.70178816
"3809","03/31/2018","market","IRENE'S CHURCH AVE. FLORIST, INC.","","3206","CHURCH AVE","","BROOKLYN",11226,"7182824100","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 2, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.94746383,40.65089956
"3814","03/31/2018","market","AMAR DESH FOOD INC.","","87","CHURCH AVE","","BROOKLYN",11218,"718-633-0114","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 2, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.98000502,40.64256842
"3816","03/31/2018","market","NEW JASON DISCOUNT INC","","5124","5TH AVE","","BROOKLYN",11220,"347-689-4480","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 2, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-74.01109501,40.64437021
"3824","03/31/2018","market","C & G TWINS, CORP","BAGEL BOBS ON YORK","1641","YORK AVE","","NEW YORK",10028,"2125353838","Manhattan","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 1, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.94695339,40.77617573
"3825","03/31/2018","market","MYRTLE OK FARM, INC.","","6617","MYRTLE AVE","","GLENDALE",11385,"917-416-1058","Queens","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 8, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.88766747,40.7013853
"3830","03/31/2018","market","7TH ST VILLAGE FARM INC.","","113","1ST AVE","","NEW YORK",10003,"6468239167","Manhattan","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 5, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.9858101,40.72689141
"3836","03/31/2018","market","RORO 414 CORP","MR COCO","414","MYRTLE AVE","","BROOKLYN",11205,"646-842-6561","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 1, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.96925096,40.69311661
"3839","03/31/2018","market","ITTADI SUPERMARKET, LLC","","16807","HILLSIDE AVE","","JAMAICA",11432,"","Queens","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 0, 5 foot stands: 6, 5.01 to 10 foot stands: 0",-73.79447657,40.71012498
"3840","03/31/2018","market","K.L. SEAFOOD CORP.","","141","MOTT ST","","NEW YORK",10013,"9179757708","Manhattan","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 2, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.99667392,40.71862777
"3842","03/31/2018","market","YOUR CHOICE DELI GROCERY CORP.","","2363","VALENTINE AVE","","BRONX",10458,"3472701590","Bronx","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 3, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.89752441,40.85839342
"3852","03/31/2018","market","PETER COOPER FLORIST INC","","2802","STEINWAY ST","","ASTORIA",11103,"7187251415","Queens","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 1, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.91390545,40.76524543
"3858","03/31/2018","market","EVERGREEN FLOWER INC","","4142","MAIN ST","","FLUSHING",11355,"","Queens","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 0, 5 foot stands: 2, 5.01 to 10 foot stands: 0",-73.82897251,40.75709482
"3863","03/31/2018","market","GREEN CORNER NY LLC","GREEN CORNER FISH & FARMERS MARKET","801","FLUSHING AVE","","BROOKLYN",11206,"9177979706","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 3, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.94070541,40.70101861
"3864","03/31/2018","market","JS FRUIT & VEGETABLE CORP.","","723","NOSTRAND AVE","","BROOKLYN",11216,"718-778-9290","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 3, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.95022613,40.6726614
"3867","03/31/2018","market","H & Y SUPER 99 INC.","","13336","41ST RD","","FLUSHING",11355,"7189080963","Queens","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 2, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.8304421,40.75689937
"3873","03/31/2018","market","CRESCENT CORNER INC.","","3340","FULTON ST","","BROOKLYN",11208,"718-277-7917","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 2, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.87239183,40.68358325
"3875","03/31/2018","market","QUEENS BLVD ORGANIC INC","HI! MANGO NATURAL MARKET","13775","QUEENS BLVD","","JAMAICA",11435,"7182915353","Queens","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 10, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.81876221,40.70892514
"3876","03/31/2018","market","KIM, JAESUN","ARIANA FLORIST","1407","150TH ST","","WHITESTONE",11357,"7187678687","Queens","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 1, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.81368829,40.78856157
